id,name,code
mun_010100,MUNICIPIO SANTO DOMINGO DE GUZMÁN,010100
mun_020100,MUNICIPIO AZUA,020100
mun_020200,MUNICIPIO LAS CHARCAS,020200
mun_020300,MUNICIPIO LAS YAYAS DE VIAJAMA,020300
mun_020400,MUNICIPIO PADRE LAS CASAS,020400
mun_020500,MUNICIPIO PERALTA,020500
mun_020600,MUNICIPIO SABANA YEGUA,020600
mun_020700,MUNICIPIO PUEBLO VIEJO,020700
mun_020800,MUNICIPIO TÁBARA ARRIBA,020800
mun_020900,MUNICIPIO GUAYABAL,020900
mun_021000,MUNICIPIO ESTEBANÍA,021000
mun_030100,MUNICIPIO NEIBA,030100
mun_030200,MUNICIPIO GALVÁN,030200
mun_030300,MUNICIPIO TAMAYO,030300
mun_030400,MUNICIPIO VILLA JARAGUA,030400
mun_030500,MUNICIPIO LOS RÍOS,030500
mun_040100,MUNICIPIO BARAHONA,040100
mun_040200,MUNICIPIO CABRAL,040200
mun_040300,MUNICIPIO ENRIQUILLO,040300
mun_040400,MUNICIPIO PARAÍSO,040400
mun_040500,MUNICIPIO VICENTE NOBLE,040500
mun_040600,MUNICIPIO EL PEÑÓN,040600
mun_040700,MUNICIPIO LA CIÉNAGA,040700
mun_040800,MUNICIPIO FUNDACIÓN,040800
mun_040900,MUNICIPIO LAS SALINAS,040900
mun_041000,MUNICIPIO POLO,041000
mun_041100,MUNICIPIO JAQUIMEYES,041100
mun_050100,MUNICIPIO DAJABÓN,050100
mun_050200,MUNICIPIO LOMA DE CABRERA,050200
mun_050300,MUNICIPIO PARTIDO,050300
mun_050400,MUNICIPIO RESTAURACIÓN,050400
mun_050500,MUNICIPIO EL PINO,050500
mun_060100,MUNICIPIO SAN FRANCISCO DE MACORÍS,060100
mun_060200,MUNICIPIO ARENOSO,060200
mun_060300,MUNICIPIO CASTILLO,060300
mun_060400,MUNICIPIO PIMENTEL,060400
mun_060500,MUNICIPIO VILLA RIVA,060500
mun_060600,MUNICIPIO LAS GUÁRANAS,060600
mun_060700,MUNICIPIO EUGENIO MARÍA DE HOSTOS,060700
mun_070100,MUNICIPIO COMENDADOR,070100
mun_070200,MUNICIPIO BÁNICA,070200
mun_070300,MUNICIPIO EL LLANO,070300
mun_070400,MUNICIPIO HONDO VALLE,070400
mun_070500,MUNICIPIO PEDRO SANTANA,070500
mun_070600,MUNICIPIO JUAN SANTIAGO,070600
mun_080100,MUNICIPIO EL SEIBO,080100
mun_080200,MUNICIPIO MICHES,080200
mun_090100,MUNICIPIO MOCA,090100
mun_090200,MUNICIPIO CAYETANO GERMOSÉN,090200
mun_090300,MUNICIPIO GASPAR HERNÁNDEZ,090300
mun_090400,MUNICIPIO JAMAO AL NORTE,090400
mun_100100,MUNICIPIO JIMANÍ,100100
mun_100200,MUNICIPIO DUVERGÉ,100200
mun_100300,MUNICIPIO LA DESCUBIERTA,100300
mun_100400,MUNICIPIO POSTRER RÍO,100400
mun_100500,MUNICIPIO CRISTÓBAL,100500
mun_100600,MUNICIPIO MELLA,100600
mun_110100,MUNICIPIO HIGÜEY,110100
mun_110200,MUNICIPIO SAN RAFAEL DEL YUMA,110200
mun_120100,MUNICIPIO LA ROMANA,120100
mun_120200,MUNICIPIO GUAYMATE,120200
mun_120300,MUNICIPIO VILLA HERMOSA,120300
mun_130100,MUNICIPIO LA VEGA,130100
mun_130200,MUNICIPIO CONSTANZA,130200
mun_130300,MUNICIPIO JARABACOA,130300
mun_130400,MUNICIPIO JIMA ABAJO,130400
mun_140100,MUNICIPIO NAGUA,140100
mun_140200,MUNICIPIO CABRERA,140200
mun_140300,MUNICIPIO EL FACTOR,140300
mun_140400,MUNICIPIO RÍO SAN JUAN,140400
mun_150100,MUNICIPIO MONTE CRISTI,150100
mun_150200,MUNICIPIO CASTAÑUELAS,150200
mun_150300,MUNICIPIO GUAYUBÍN,150300
mun_150400,MUNICIPIO LAS MATAS DE SANTA CRUZ,150400
mun_150500,MUNICIPIO PEPILLO SALCEDO,150500
mun_150600,MUNICIPIO VILLA VÁSQUEZ,150600
mun_160100,MUNICIPIO PEDERNALES,160100
mun_160200,MUNICIPIO OVIEDO,160200
mun_170100,MUNICIPIO BANÍ,170100
mun_170200,MUNICIPIO NIZAO,170200
mun_170300,MATANZAS,170300
mun_180100,MUNICIPIO PUERTO PLATA,180100
mun_180200,MUNICIPIO ALTAMIRA,180200
mun_180300,MUNICIPIO GUANANICO,180300
mun_180400,MUNICIPIO IMBERT,180400
mun_180500,MUNICIPIO LOS HIDALGOS,180500
mun_180600,MUNICIPIO LUPERÓN,180600
mun_180700,MUNICIPIO SOSÚA,180700
mun_180800,MUNICIPIO VILLA ISABELA,180800
mun_180900,MUNICIPIO VILLA MONTELLANO,180900
mun_190100,MUNICIPIO SALCEDO,190100
mun_190200,MUNICIPIO TENARES,190200
mun_190300,MUNICIPIO VILLA TAPIA,190300
mun_200100,MUNICIPIO SAMANÁ,200100
mun_200200,MUNICIPIO SÁNCHEZ,200200
mun_200300,MUNICIPIO LAS TERRENAS,200300
mun_210100,MUNICIPIO SAN CRISTÓBAL,210100
mun_210200,MUNICIPIO SABANA GRANDE DE PALENQUE,210200
mun_210300,MUNICIPIO BAJOS DE HAINA,210300
mun_210400,MUNICIPIO CAMBITA GARABITOS,210400
mun_210500,MUNICIPIO VILLA ALTAGRACIA,210500
mun_210600,MUNICIPIO YAGUATE,210600
mun_210700,MUNICIPIO SAN GREGORIO DE NIGUA,210700
mun_210800,MUNICIPIO LOS CACAOS,210800
mun_220100,MUNICIPIO SAN JUAN,220100
mun_220200,MUNICIPIO BOHECHÍO,220200
mun_220300,MUNICIPIO EL CERCADO,220300
mun_220400,MUNICIPIO JUAN DE HERRERA,220400
mun_220500,MUNICIPIO LAS MATAS DE FARFÁN,220500
mun_220600,MUNICIPIO VALLEJUELO,220600
mun_230100,MUNICIPIO SAN PEDRO DE MACORÍS,230100
mun_230200,MUNICIPIO LOS LLANOS,230200
mun_230300,MUNICIPIO RAMÓN SANTANA,230300
mun_230400,MUNICIPIO CONSUELO,230400
mun_230500,MUNICIPIO QUISQUEYA,230500
